Andreiniimon nuptialis
Arantia brevipes
Arcyptera Pararcyptera labiata
Azanicada zuluensis
Baryprostha foliacea
Calyptotrypus helvolus
Chrysocharon dispar
Ctenodecticus bolivari siculus
Cycloptiloides canariensis
Cycloptiloides sp.
Dociostaurus Dociostaurus maroccanus
Drymadusa dorsalis
Elimaea chloris
Ephippiger cunii × cruciger
Ephippigerida areolaria
Ephippigerida taeniata
Eppia truncatipennis
Erioloides brevipennis
Euchorthippus pulvinatus gallicus
Euchorthippus pulvinatus pulvinatus
Gastrimargulus marmoratus
Gogga"" ""sp. 01d cf. carinata
Gryllodes sigillatus
Homoeoxipha lycoides
Leptobrachella baluensis
Leptobrachella brevicrus
Lernecella trinitatis
Locusta migratoria migratoria
Megophrys monticola nasuta
Mesambria dubia
Metrioptera saussuriana ""f. buyssoni
Mygalopsis marki
Myrmeleotettix maculatus hispanicus
Nesobia mjoebergi
Omocestus Omocestus haemorrhoidalis
Omocestus Omocestus viridulus
Orapa numa
Pachytrachis gracilis
Pholiodoptera griseoaptera
Phyllomimus ?inversus
Phyllozelus sp.
Platystolus martinezi
Podacanthophorus alas
Poecilimon Poecilimon ornatus
Psorodonotus illyricus macedonicus
Ramburiella Ramburiella hispanica
Scapisipedus ?marginatus
Sciobia sp. near batnensis
Sphyrometopa atlantica
Sphyrometopa femorata
swinging tigris
Teleogryllus Brachyteleogryllus occipitalis
Tettigeta argentata
Thyridorhoptrum baileyi,Thyridorhoptrum
Thyridorhoptrum senegalense,Thyridorhoptrum
Tympanophora similis,Tympanophora
Vestria punctata,Vestria
Xestophrys sp.,Xestophrys
Zichya sp.,Zichya
